"","State","YEAR","","JAN","","FEB","","MAR","","APR","","MAY","","JUN","","JUL","","AUG","","SEP","","OCT","","NOV","","DEC",""
"","Andaman & Nico","","1901","","49.2","","87.1","","29.2","","2.3","","528.8","","517.5","","365.1","","481.1","","332.6","","388.5","","558.2","","33.6"
"","Andaman & Nico","","1902","","0","","159.8","","12.2","","0","","446.1","","537.1","","228.9","","753.7","","666.2","","197.2","","359","","160.5"
"","Andaman & Nico","","1903","","12.7","","144","","0","","1","","235.1","","479.9","","728.4","","326.7","","339","","181.2","","284.4","","225"
"","Andaman & Nico","","1904","","9.4","","14.7","","0","","202.4","","304.5","","495.1","","502","","160.1","","820.4","","222.2","","308.7","","40.1"
"","Andaman & Nico","","1905","","1.3","","0","","3.3","","26.9","","279.5","","628.7","","368.7","","330.5","","297","","260.7","","25.4","","344.7"
"","Andaman & Nico","","1906","","36.6","","0","","0","","0","","556.1","","733.3","","247.7","","320.5","","164.3","","267.8","","128.9","","79.2"
"","Andaman & Nico","1907","","110.7","","0","","113.3","","21.6","","616.3","","305.2","","443.9","","377.6","","200.4","","264.4","","648.9","","245.6",""
"","Andaman & Nico","1908","","20.9","","85.1","","0","","29","","562","","693.6","","481.4","","699.9","","428.8","","170.7","","208.1","","196.9",""
"","Andaman & Nico","1910","","26.6","","22.7","","206.3","","89.3","","224.5","","472.7","","264.3","","337.4","","626.6","","208.2","","267.3","","153.5",""
"","Andaman & Nico","1911","","0","","8.4","","0","","122.5","","327.3","","649","","253","","187.1","","464.5","","333.8","","94.5","","247.1",""
"","Andaman & Nico","1912","","583.7","","0.8","","0","","21.9","","140.7","","549.8","","468.9","","370.3","","386.2","","318.7","","117.2","","2.3",""
"","Andaman & Nico","1913","","84.8","","0.5","","1.3","","2.5","","190.7","","530","","280.8","","205.8","","580.1","","288.8","","133","","67.5",""
"","Andaman & Nico","1914","","0","","0","","0","","37.7","","298.8","","383.3","","792.8","","520.5","","310.8","","139.8","","184.4","","289.7",""
"","Andaman & Nico","1915","","45","","56.7","","33.3","","40.9","","170.2","","334.7","","269","","317.2","","429.8","","468.1","","258.4","","318",""
"","Andaman & Nico","1916","","0","","0","","0","","0.5","","487.4","","450.1","","317.3","","425","","561.2","","369.7","","192.6","","133.7",""
"","Andaman & Nico","1917","","8","","3.6","","112","","4.5","","295.9","","301.1","","394.8","","437.4","","471.8","","238.1","","108.3","","236.9",""
"","Andaman & Nico","1918","","77.4","","6.9","","11.4","","10.7","","729.3","","710.8","","200.9","","455.4","","303.3","","227","","366.9","","175",""
"","Andaman & Nico","1919","","10.2","","18","","0","","35.5","","283.9","","542.5","","246.5","","259.8","","170.7","","186.2","","340.4","","258.4",""
"","Andaman & Nico","1920","","122.3","","7.4","","3.1","","13","","237.4","","546.9","","294.4","","467.4","","505.4","","397.5","","262.9","","85.5",""
"","Andaman & Nico","1921","","13.2","","3.1","","0","","37.5","","351.2","","282.7","","487.1","","330","","581.2","","360.7","","118.2","","41.5",""
"","Andaman & Nico","1922","","245.3","","34.3","","15.6","","323.1","","289.7","","506.1","","425.8","","307.4","","511.7","","162","","541","","192.2",""
"","Andaman & Nico","1923","","79.5","","0","","27.39550347","","91.3","","293.5","","808.4","","636.9","","182.2","","560.5","","131.9","","197.4","","70.6",""
"","Andaman & Nico","1924","","28.7","","0","","14.8","","89.7","","191.2","","261.2","","493.3","","290.9","","251.2","","331.1","","378.6","","18.93485755",""
"","Andaman & Nico","1925","","36.6","","0","","8.6","","50.4","","282.2","","663.8","","241.8","","278.2","","201.9","","249.5","","271.5","","196",""
"","Andaman & Nico","1926","","122.1","","0","","0","","0.5","","198.4","","370","","195.3","","523.7","","719.3","","443.8","","148.4","","560.7",""
"","Andaman & Nico","1927","","3","","17.5","","17.8","","108.6","","504.1","","433.3","","195.2","","370.1","","126.2","","327.5","","274.1","","65.5",""
"","Andaman & Nico","1928","","50.9","","67.6","","80.7","","129.3","","499.5","","410.2","","406.3","","391.5","","404.8","","444.5","","99.5","","13.5",""
"","Andaman & Nico","1929","","74.2","","118.4","","129.2","","69.8","","316.6","","588.8","","134","","644.7","","172.9","","413","","251.5","","13.5",""
"","Andaman & Nico","1930","","87.4","","105.4","","131.2","","10.9","","231.5","","533.6","","317.9","","446.7","","677.2","","82.3","","249.4","","201.6",""
"","Andaman & Nico","1931","","25.3","","0","","2.5","","2.5","","205.4","","393.5","","289.3","","571","","294.4","","368.3","","22.8","","182.7",""
"","Andaman & Nico","1932","","2.8","","2.5","","10.1","","58.2","","479.7","","230.0477044","","347.0637799","","289.7621563","","197.3118632","","95.31471292","","39.49068487","","18.93485755",""
"","Andaman & Nico","1933","","4.5","","11.7","","8.1","","58.4","","365.4","","544.2","","376.6","","294.1","","759","","239.8","","268.8","","56.9",""
"","Andaman & Nico","1934","","7.3","","172.9","","6.9","","131.4","","62","","708.4","","323.5","","924.9","","761.1","","338.1","","240.2","","46.1",""
"","Andaman & Nico","1935","","6.6","","0","","0.5","","133.6","","726.8","","374.1","","368.7","","411.6","","578.9","","182.4","","275.4","","95.4",""
"","Andaman & Nico","1936","","16.5","","15.3","","116.5","","43.08171169","","194.3","","498.3","","664.8","","562.9","","383.8","","174.9","","199.2","","212.2",""
"","Andaman & Nico","1937","","21.6","","10.7","","0","","112","","330.5","","732.8","","449.5","","332","","349.5","","383.3","","251.7","","617.5",""
"","Andaman & Nico","1938","","13.4","","57.2","","50.5","","101.6","","368.9","","668.6","","318.2","","397.1","","546.7","","318.4","","316.3","","107.5",""
"","Andaman & Nico","1939","","54.1","","1.5","","16.1","","77.3","","480.5","","541","","335.6","","202.8","","512.5","","263.9","","165.9","","131.3",""
"","Andaman & Nico","1940","","0.5","","2.8","","59.4","","0","","320.7","","335.4","","268.1","","889.2","","477.5","","114.1","","221","","318.8",""
"","Andaman & Nico","1941","","0","","12.8","","0","","77.8","","251.9","","497","","302.5","","311.9","","516","","382.8","","266","","279.5",""
"","Andaman & Nico","1942","","39.2","","7.4","","27.39550347","","43.08171169","","85.64651052","","230.0477044","","347.0637799","","289.7621563","","197.3118632","","95.31471292","","39.49068487","","18.93485755",""
"","Andaman & Nico","1946","","84.4","","3.6","","21.1","","135.2","","309.1","","535.9","","189","","367.4","","478.3","","276.9","","146.9","","243.8",""
"","Andaman & Nico","1947","","25.1","","111.1","","63.2","","127.7","","206.3","","965.6","","490","","293.7","","197.3118632","","376","","67.5","","168.6",""
"","Andaman & Nico","1949","","0","","56.4","","0","","166.5","","405.8","","658.4","","743.3","","404","","627.5","","339.6","","81.1","","7",""
"","Andaman & Nico","1950","","0.8","","0","","0","","95.5","","264.2","","369.9","","366.7","","347.3","","494.5","","224.6","","89.3","","169.4",""
"","Andaman & Nico","1951","","82.7","","7.2","","0","","45.4","","259","","619.9","","665.3","","101.3","","360.9","","489","","209.6","","434.8",""
"","Andaman & Nico","1952","","0","","0.8","","69.7","","39.4","","452.9","","657.7","","385.5","","541.3","","240.3","","315.6","","287.5","","89.2",""
